,price,area,주차대수,범죄율,건물연식,대규모점포_거리,버스정류장_거리,지하철역_거리,학교_거리,유치원_거리,병원_거리,주택구매력지수,RIR,LIR,code,date
0,0.036414565826330535,0.0,0.02681530581500452,0.0,0.0,1.0000000000000002,0.0,0.3059398874923944,0.16742592789217936,0.7299312157822702,0.24055120702298913,0.014801631401735404,1.0,0.0,A10024359-10.0,202202.0
1,0.04201680672268907,0.0,0.02681530581500452,0.0,0.0,1.0000000000000002,0.0,0.3059398874923944,0.16742592789217936,0.7299312157822702,0.24055120702298913,0.017091339018142415,,,A10024359-10.0,202203.0
2,0.10411484593837533,0.038461538461538464,0.02681530581500452,0.0,0.0,1.0000000000000002,0.0,0.3059398874923944,0.16742592789217936,0.7299312157822702,0.24055120702298913,0.017091339018142415,,,A10024359-20.0,202203.0
3,0.0700280112044818,0.038461538461538464,0.02681530581500452,0.0,0.0,1.0000000000000002,0.0,0.3059398874923944,0.16742592789217936,0.7299312157822702,0.24055120702298913,,,,A10024359-20.0,202204.0
4,0.08123249299719887,0.038461538461538464,0.02681530581500452,0.0,0.0,1.0000000000000002,0.0,0.3059398874923944,0.16742592789217936,0.7299312157822702,0.24055120702298913,,,,A10024359-20.0,202205.0
5,0.0980392156862745,0.07692307692307693,0.02681530581500452,0.0,0.0,1.0000000000000002,0.0,0.3059398874923944,0.16742592789217936,0.7299312157822702,0.24055120702298913,0.014801631401735404,1.0,0.0,A10024359-30.0,202202.0
6,0.10224089635854341,0.07692307692307693,0.02681530581500452,0.0,0.0,1.0000000000000002,0.0,0.3059398874923944,0.16742592789217936,0.7299312157822702,0.24055120702298913,,,,A10024359-30.0,202204.0
7,0.04201680672268907,0.11538461538461539,0.05845134076529075,0.0,0.09090909090909091,0.1940885360650938,0.25478928438629206,0.6147473765197652,1.0,0.5692239399281522,0.2756103820369079,0.9505998873006571,0.08036890645586292,0.40060240963855426,A10024756-40.0,201507.0
8,0.04761904761904762,0.15384615384615385,0.05845134076529075,0.0,0.09090909090909091,0.1940885360650938,0.25478928438629206,0.6147473765197652,1.0,0.5692239399281522,0.2756103820369079,0.9625104419498409,0.07114624505928857,0.3433734939759037,A10024756-50.0,201501.0
9,0.061624649859943974,0.15384615384615385,0.05845134076529075,0.0,0.09090909090909091,0.1940885360650938,0.25478928438629206,0.6147473765197652,1.0,0.5692239399281522,0.2756103820369079,0.8956172883543905,0.055335968379446654,0.3704819277108434,A10024756-50.0,201505.0
10,0.06442577030812324,0.15384615384615385,0.05845134076529075,0.0,0.09090909090909091,0.1940885360650938,0.25478928438629206,0.6147473765197652,1.0,0.5692239399281522,0.2756103820369079,0.8152816162017604,0.1133069828722002,0.427710843373494,A10024756-50.0,201603.0
11,0.06946778711484594,0.15384615384615385,0.05845134076529075,0.0,0.09090909090909091,0.1940885360650938,0.25478928438629206,0.6147473765197652,1.0,0.5692239399281522,0.2756103820369079,0.7611091956698122,0.08432147562582337,0.4246987951807229,A10024756-50.0,201604.0
12,0.07422969187675071,0.19230769230769232,0.05845134076529075,0.0,0.09090909090909091,0.1940885360650938,0.25478928438629206,0.6147473765197652,1.0,0.5692239399281522,0.2756103820369079,0.7738904802778304,0.1805006587615282,0.6295180722891567,A10024756-60.0,201305.0
13,0.06302521008403361,0.19230769230769232,0.05845134076529075,0.0,0.09090909090909091,0.1940885360650938,0.25478928438629206,0.6147473765197652,1.0,0.5692239399281522,0.2756103820369079,0.9292282977215705,0.15019762845849793,0.3614457831325301,A10024756-60.0,201409.0
14,0.0700280112044818,0.19230769230769232,0.05845134076529075,0.0,0.09090909090909091,0.1940885360650938,0.25478928438629206,0.6147473765197652,1.0,0.5692239399281522,0.2756103820369079,0.8831780690266484,0.08827404479578393,0.36445783132530124,A10024756-60.0,201412.0
15,0.07282913165266106,0.19230769230769232,0.05845134076529075,0.0,0.09090909090909091,0.1940885360650938,0.25478928438629206,0.6147473765197652,1.0,0.5692239399281522,0.2756103820369079,0.9491509928779671,0.0,0.3283132530120482,A10024756-60.0,201504.0
16,0.06806722689075631,0.19230769230769232,0.05845134076529075,0.0,0.09090909090909091,0.1940885360650938,0.25478928438629206,0.6147473765197652,1.0,0.5692239399281522,0.2756103820369079,0.9238762350681691,0.06851119894598146,0.3433734939759037,A10024756-60.0,201508.0
17,0.07563025210084034,0.19230769230769232,0.05845134076529075,0.0,0.09090909090909091,0.1940885360650938,0.25478928438629206,0.6147473765197652,1.0,0.5692239399281522,0.2756103820369079,0.8169798168018145,0.12252964426877466,0.3614457831325301,A10024756-60.0,201511.0
18,0.08963585434173668,0.19230769230769232,0.05845134076529075,0.0,0.09090909090909091,0.1940885360650938,0.25478928438629206,0.6147473765197652,1.0,0.5692239399281522,0.2756103820369079,0.5749180713306401,0.19631093544137024,0.5542168674698795,A10024756-60.0,201611.0
19,0.09131652661064424,0.19230769230769232,0.05845134076529075,0.0,0.09090909090909091,0.1940885360650938,0.25478928438629206,0.6147473765197652,1.0,0.5692239399281522,0.2756103820369079,0.5162412132387992,0.24242424242424232,0.5632530120481929,A10024756-60.0,201707.0
20,0.12324929971988796,0.19230769230769232,0.05845134076529075,0.0,0.09090909090909091,0.1940885360650938,0.25478928438629206,0.6147473765197652,1.0,0.5692239399281522,0.2756103820369079,0.2092774082894997,0.16073781291172595,0.5692771084337351,A10024756-60.0,201905.0
