,아파트코드,단지명,시군구,주소.읍면동.,kapt도로명주소,세대타입.분양형태.,전용면적(㎡),계약년월,층,건축년도,주차대수,좌표X,좌표Y,범죄율,건물연식,대규모점포_거리,버스정류장_거리,지하철역_거리,학교_거리,유치원_거리,병원_거리,거래금액(만원),Unnamed: 0,년도,월,주택구매력지수,RIR,LIR
18,A10080701,LIG서울역리가,서울특별시 중구 만리동1가,만리동1가,서울특별시 중구 만리재로33길 21,분양,84.9866,201706.0,14.0,2012.0,221.0,126.9669575,37.5558961,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,78000.0,65,2017,6,54.01512115,7.7,3.39
19,A10080701,LIG서울역리가,서울특별시 중구 만리동1가,만리동1가,서울특별시 중구 만리재로33길 21,분양,84.9846,201706.0,9.0,2012.0,221.0,126.9669575,37.5558961,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,75000.0,65,2017,6,54.01512115,7.7,3.39
20,A10080701,LIG서울역리가,서울특별시 중구 만리동1가,만리동1가,서울특별시 중구 만리재로33길 21,분양,84.9866,201706.0,7.0,2012.0,221.0,126.9669575,37.5558961,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,78000.0,65,2017,6,54.01512115,7.7,3.39
21,A10080701,LIG서울역리가,서울특별시 중구 만리동1가,만리동1가,서울특별시 중구 만리재로33길 21,분양,84.9566,201707.0,2.0,2012.0,221.0,126.9669575,37.5558961,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,71500.0,66,2017,7,53.56659507,7.99,3.47
22,A10080701,LIG서울역리가,서울특별시 중구 만리동1가,만리동1가,서울특별시 중구 만리재로33길 21,분양,84.9866,201707.0,10.0,2012.0,221.0,126.9669575,37.5558961,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,75000.0,66,2017,7,53.56659507,7.99,3.47
23,A10080701,LIG서울역리가,서울특별시 중구 만리동1가,만리동1가,서울특별시 중구 만리재로33길 21,분양,84.9866,201707.0,7.0,2012.0,221.0,126.9669575,37.5558961,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,75500.0,66,2017,7,53.56659507,7.99,3.47
24,A10026881,서울역센트럴자이,서울특별시 중구 만리동2가,만리동2가,서울특별시 중구 만리재로 175,임대+분양,84.972,201705.0,6.0,2017.0,1547.0,126.9630956,37.55460908,2.590409939,3.0,0.35728361,0.161820725,0.561666428,0.116220626,0.295506587,0.180810793,79390.0,64,2017,5,55.13683799,7.22,3.28
25,A10026849,묵정,서울특별시 중구 묵정동,묵정동,서울특별시 중구 서애로1길 34,분양,52.46,201612.0,9.0,1981.0,45.0,127.0000706,37.56070587,2.590409939,2.0,0.508040374,0.186428735,0.513894436,0.179712989,0.18415205,0.047964556,27900.0,59,2016,12,54.94691069,7.85,3.58
26,A10026849,묵정,서울특별시 중구 묵정동,묵정동,서울특별시 중구 서애로1길 34,분양,52.46,201701.0,8.0,1981.0,45.0,127.0000706,37.56070587,2.590409939,2.0,0.508040374,0.186428735,0.513894436,0.179712989,0.18415205,0.047964556,25500.0,60,2017,1,56.61309133,8.5,3.75
27,A10026849,묵정,서울특별시 중구 묵정동,묵정동,서울특별시 중구 서애로1길 34,분양,52.46,201701.0,1.0,1981.0,45.0,127.0000706,37.56070587,2.590409939,2.0,0.508040374,0.186428735,0.513894436,0.179712989,0.18415205,0.047964556,27000.0,60,2017,1,56.61309133,8.5,3.75
28,A10026849,묵정,서울특별시 중구 묵정동,묵정동,서울특별시 중구 서애로1길 34,분양,52.46,201705.0,4.0,1981.0,45.0,127.0000706,37.56070587,2.590409939,2.0,0.508040374,0.186428735,0.513894436,0.179712989,0.18415205,0.047964556,28000.0,64,2017,5,55.13683799,7.22,3.28
29,A10026849,묵정,서울특별시 중구 묵정동,묵정동,서울특별시 중구 서애로1길 34,분양,52.46,201707.0,3.0,1981.0,45.0,127.0000706,37.56070587,2.590409939,2.0,0.508040374,0.186428735,0.513894436,0.179712989,0.18415205,0.047964556,26429.0,66,2017,7,53.56659507,7.99,3.47
30,A10026849,묵정,서울특별시 중구 묵정동,묵정동,서울특별시 중구 서애로1길 34,분양,52.46,201707.0,9.0,1981.0,45.0,127.0000706,37.56070587,2.590409939,2.0,0.508040374,0.186428735,0.513894436,0.179712989,0.18415205,0.047964556,26429.0,66,2017,7,53.56659507,7.99,3.47
31,A10026849,묵정,서울특별시 중구 묵정동,묵정동,서울특별시 중구 서애로1길 34,분양,52.46,201707.0,10.0,1981.0,45.0,127.0000706,37.56070587,2.590409939,2.0,0.508040374,0.186428735,0.513894436,0.179712989,0.18415205,0.047964556,26429.0,66,2017,7,53.56659507,7.99,3.47
32,A10026849,묵정,서울특별시 중구 묵정동,묵정동,서울특별시 중구 서애로1길 34,분양,52.46,201707.0,1.0,1981.0,45.0,127.0000706,37.56070587,2.590409939,2.0,0.508040374,0.186428735,0.513894436,0.179712989,0.18415205,0.047964556,26429.0,66,2017,7,53.56659507,7.99,3.47
33,A10026849,묵정,서울특별시 중구 묵정동,묵정동,서울특별시 중구 서애로1길 34,분양,52.46,201707.0,1.0,1981.0,45.0,127.0000706,37.56070587,2.590409939,2.0,0.508040374,0.186428735,0.513894436,0.179712989,0.18415205,0.047964556,26429.0,66,2017,7,53.56659507,7.99,3.47
