,var1(t-1),var2(t-1),var3(t-1),var4(t-1),var5(t-1),var6(t-1),var7(t-1),var8(t-1),var9(t-1),var10(t-1),var11(t-1),var12(t-1),var13(t-1),var14(t-1),var15(t-1),var1(t),var2(t),var3(t),var4(t),var5(t),var6(t),var7(t),var8(t),var9(t),var10(t),var11(t),var12(t),var13(t),var14(t),var15(t)
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3460955122821594,0.6869918699186992,0.4943820224719102,0.0,0.1274418604651163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3562325028138278,0.8008130081300808,0.567415730337079,0.0,0.10976744186046516
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3562325028138278,0.8008130081300808,0.567415730337079,0.0,0.10976744186046516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7251405893327953,0.5569105691056908,0.561797752808989,0.0,0.006201550387596844
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7251405893327953,0.5569105691056908,0.561797752808989,0.0,0.006201550387596844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7400305446112501,0.45121951219512146,0.5337078651685394,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7400305446112501,0.45121951219512146,0.5337078651685394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8260726394500015,0.2357723577235773,0.3764044943820226,0.0,0.0046511627906976605
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8260726394500015,0.2357723577235773,0.3764044943820226,0.0,0.0046511627906976605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8053070823644759,0.1382113821138211,0.3202247191011236,0.0,0.046511627906976716
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8053070823644759,0.1382113821138211,0.3202247191011236,0.0,0.046511627906976716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8120844636489186,0.1056910569105689,0.252808988764045,0.0,0.06046511627906981
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8120844636489186,0.1056910569105689,0.252808988764045,0.0,0.06046511627906981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8175828010080715,0.2723577235772354,0.247191011235955,0.0,0.013023255813953472
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8175828010080715,0.2723577235772354,0.247191011235955,0.0,0.013023255813953472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8704744444209698,0.14634146341463383,0.005617977528090012,0.0,0.051162790697674376
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8704744444209698,0.14634146341463383,0.005617977528090012,0.0,0.051162790697674376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9304216264493859,0.5,0.09550561797752821,0.0,0.037209302325581395
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9304216264493859,0.5,0.09550561797752821,0.0,0.037209302325581395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9544275807382985,0.21951219512195097,0.028089887640449618,0.0,0.023255813953488413
