,var1(t-1),var2(t-1),var3(t-1),var4(t-1),var5(t-1),var6(t-1),var7(t-1),var8(t-1),var9(t-1),var10(t-1),var11(t-1),var12(t-1),var13(t-1),var14(t-1),var15(t-1),var1(t),var2(t),var3(t),var4(t),var5(t),var6(t),var7(t),var8(t),var9(t),var10(t),var11(t),var12(t),var13(t),var14(t),var15(t)
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7096036214101431,0.2601626016260159,0.1797752808988764,0.0,0.11860465116279073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7056783985238504,0.24390243902439002,0.10112359550561822,0.0,0.12372093023255815
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7056783985238504,0.24390243902439002,0.10112359550561822,0.0,0.12372093023255815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7070798147544133,0.26422764227642226,0.1629213483146068,0.0,0.16279069767441856
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7070798147544133,0.26422764227642226,0.1629213483146068,0.0,0.16279069767441856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7619141135337311,0.33333333333333304,0.19662921348314621,0.0,0.16744186046511633
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7619141135337311,0.33333333333333304,0.19662921348314621,0.0,0.16744186046511633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7203614892311967,0.36178861788617844,0.20786516853932602,0.0,0.14744186046511631
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7203614892311967,0.36178861788617844,0.20786516853932602,0.0,0.14744186046511631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6529916969422078,0.5731707317073167,0.308988764044944,0.0,0.1813953488372093
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6529916969422078,0.5731707317073167,0.308988764044944,0.0,0.1813953488372093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46193172038380026,0.6910569105691056,0.5000000000000002,0.0,0.17279069767441857
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46193172038380026,0.6910569105691056,0.5000000000000002,0.0,0.17279069767441857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5222751356720587,0.9552845528455283,0.5955056179775282,0.0,0.1506976744186047
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5222751356720587,0.9552845528455283,0.5955056179775282,0.0,0.1506976744186047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49001666097360874,0.4227642276422765,0.353932584269663,0.0,0.16186046511627905
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49001666097360874,0.4227642276422765,0.353932584269663,0.0,0.16186046511627905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4688102434342645,0.4349593495934956,0.3314606741573034,0.0,0.16079734219269104
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4688102434342645,0.4349593495934956,0.3314606741573034,0.0,0.16079734219269104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42818546153069326,0.630081300813008,0.3932584269662922,0.0,0.2186046511627907
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42818546153069326,0.630081300813008,0.3932584269662922,0.0,0.2186046511627907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4119413671850436,0.7479674796747968,0.4382022471910114,0.0,0.19999999999999996
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4119413671850436,0.7479674796747968,0.4382022471910114,0.0,0.19999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03837638192734816,0.6422764227642279,0.3764044943820226,0.0,0.48558139534883715
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03837638192734816,0.6422764227642279,0.3764044943820226,0.0,0.48558139534883715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050308913418357415,0.654471544715447,0.4831460674157304,0.0,0.40852713178294586
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050308913418357415,0.654471544715447,0.4831460674157304,0.0,0.40852713178294586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07484036927719306,0.7073170731707314,0.6067415730337078,0.0,0.42480620155038773
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07484036927719306,0.7073170731707314,0.6067415730337078,0.0,0.42480620155038773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05777227859290979,1.0,0.9943820224719102,0.0,0.8604651162790697
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05777227859290979,1.0,0.9943820224719102,0.0,0.8604651162790697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9430894308943092,1.0000000000000002,0.0,1.0
