,var1(t-3),var2(t-3),var3(t-3),var4(t-3),var5(t-3),var6(t-3),var7(t-3),var8(t-3),var9(t-3),var10(t-3),var11(t-3),var12(t-3),var13(t-3),var14(t-3),var15(t-3),var1(t-2),var2(t-2),var3(t-2),var4(t-2),var5(t-2),var6(t-2),var7(t-2),var8(t-2),var9(t-2),var10(t-2),var11(t-2),var12(t-2),var13(t-2),var14(t-2),var15(t-2),var1(t-1),var2(t-1),var3(t-1),var4(t-1),var5(t-1),var6(t-1),var7(t-1),var8(t-1),var9(t-1),var10(t-1),var11(t-1),var12(t-1),var13(t-1),var14(t-1),var15(t-1),var1(t),var2(t),var3(t),var4(t),var5(t),var6(t),var7(t),var8(t),var9(t),var10(t),var11(t),var12(t),var13(t),var14(t),var15(t)
3,0.12744188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34609544,0.68699193,0.49438202,0.0,0.10976744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35623252,0.80081296,0.56741583,0.0,0.0062015653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7251406,0.5569105,0.56179774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7400305,0.45121956,0.533708,0.0
4,0.10976744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35623252,0.80081296,0.56741583,0.0,0.0062015653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7251406,0.5569105,0.56179774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7400305,0.45121956,0.533708,0.0,0.004651159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82607293,0.23577237,0.3764044,0.0
5,0.0062015653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7251406,0.5569105,0.56179774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7400305,0.45121956,0.533708,0.0,0.004651159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82607293,0.23577237,0.3764044,0.0,0.04651165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.80530715,0.13821125,0.32022464,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7400305,0.45121956,0.533708,0.0,0.004651159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82607293,0.23577237,0.3764044,0.0,0.04651165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.80530715,0.13821125,0.32022464,0.0,0.060465097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8120847,0.105690956,0.25280905,0.0
7,0.004651159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82607293,0.23577237,0.3764044,0.0,0.04651165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.80530715,0.13821125,0.32022464,0.0,0.060465097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8120847,0.105690956,0.25280905,0.0,0.013023257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81758285,0.2723577,0.24719107,0.0
8,0.04651165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.80530715,0.13821125,0.32022464,0.0,0.060465097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8120847,0.105690956,0.25280905,0.0,0.013023257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81758285,0.2723577,0.24719107,0.0,0.05116278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8704746,0.14634156,0.005617976,0.0
9,0.060465097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8120847,0.105690956,0.25280905,0.0,0.013023257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81758285,0.2723577,0.24719107,0.0,0.05116278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8704746,0.14634156,0.005617976,0.0,0.037209272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9304216,0.5,0.095505476,0.0
10,0.013023257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81758285,0.2723577,0.24719107,0.0,0.05116278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8704746,0.14634156,0.005617976,0.0,0.037209272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9304216,0.5,0.095505476,0.0,0.023255825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9544277,0.21951222,0.028089881,0.0
11,0.05116278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8704746,0.14634156,0.005617976,0.0,0.037209272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9304216,0.5,0.095505476,0.0,0.023255825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9544277,0.21951222,0.028089881,0.0,0.023255825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95182824,0.19105673,0.039325714,0.0
12,0.037209272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9304216,0.5,0.095505476,0.0,0.023255825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9544277,0.21951222,0.028089881,0.0,0.023255825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95182824,0.19105673,0.039325714,0.0,0.09302324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.13821125,0.08426952,0.0
