계약년월,계약년월,건축년도,주차대수,범죄율,건물연식,대규모점포_거리,버스정류장_거리,지하철역_거리,학교_거리,유치원_거리,병원_거리,주택구매력지수,RIR,LIR,area,price
11,201705.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,55.13683799,7.22,3.28,85.0,69785.71428571429
12,201705.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,55.13683799,7.22,3.28,85.0,69785.71428571429
13,201705.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,55.13683799,7.22,3.28,85.0,69785.71428571429
14,201705.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,55.13683799,7.22,3.28,85.0,69785.71428571429
15,201705.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,55.13683799,7.22,3.28,85.0,69785.71428571429
16,201705.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,55.13683799,7.22,3.28,85.0,69785.71428571429
17,201706.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,54.01512115,7.7,3.39,85.0,76000.0
18,201706.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,54.01512115,7.7,3.39,85.0,76000.0
19,201706.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,54.01512115,7.7,3.39,85.0,76000.0
20,201706.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,54.01512115,7.7,3.39,85.0,76000.0
21,201707.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,53.56659507,7.99,3.47,85.0,74000.0
22,201707.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,53.56659507,7.99,3.47,85.0,74000.0
23,201707.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,53.56659507,7.99,3.47,85.0,74000.0
1986,201608.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,62.08258035,7.04,3.06,85.0,68350.0
1987,201608.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,62.08258035,7.04,3.06,85.0,68350.0
1988,201609.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,60.22238992,7.56,3.24,85.0,72000.0
1989,201612.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,54.94691069,7.85,3.58,85.0,71075.0
1990,201612.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,54.94691069,7.85,3.58,85.0,71075.0
1991,201612.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,54.94691069,7.85,3.58,85.0,71075.0
1992,201612.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,54.94691069,7.85,3.58,85.0,71075.0
1993,201701.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,56.61309133,8.5,3.75,85.0,68700.0
1994,201704.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,55.72238195,7.19,3.32,85.0,69900.0
1995,201704.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,55.72238195,7.19,3.32,85.0,69900.0
1996,201705.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,55.13683799,7.22,3.28,85.0,69785.71428571429
1997,201705.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,55.13683799,7.22,3.28,85.0,69785.71428571429
1998,201705.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,55.13683799,7.22,3.28,85.0,69785.71428571429
1999,201705.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,55.13683799,7.22,3.28,85.0,69785.71428571429
2000,201705.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,55.13683799,7.22,3.28,85.0,69785.71428571429
2001,201705.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,55.13683799,7.22,3.28,85.0,69785.71428571429
